id	filename	md5	size	state
034a143f-1592-40a4-b56e-f90c8021ccea	034a143f-1592-40a4-b56e-f90c8021ccea/74f3345d-c8fb-44f0-9e59-8853dd821cd8.wxs.aliquot_ensemble_masked.maf.gz	fa1cdbb286ad36067168f6b3a8be5187	35611	validated
0ac39a77-bf7a-476c-b96e-8d351ce50614	0ac39a77-bf7a-476c-b96e-8d351ce50614/668803aa-e09b-461b-93d0-a6886accd30f.wxs.aliquot_ensemble_masked.maf.gz	e65f0ea9038f2d29bb05aa38058a8e7e	30731	validated
1ae638e1-7634-48f9-9c6a-e332a86270d5	1ae638e1-7634-48f9-9c6a-e332a86270d5/518aadac-0338-416c-8adb-201ca4dcd4b9.wxs.aliquot_ensemble_masked.maf.gz	8ae9fe2a6c494f3100e577642794d8c1	13927	validated
1b8858ce-480d-484f-b418-689cc7d381ba	1b8858ce-480d-484f-b418-689cc7d381ba/59bb5d74-1006-4ffc-84cd-b97f485a6229.wxs.aliquot_ensemble_masked.maf.gz	d2559eeb83dabcac32cfa4347570d05b	101684	validated
22cc02a7-2e37-4e29-a0c2-798421a31892	22cc02a7-2e37-4e29-a0c2-798421a31892/f78267fd-5138-492c-ac14-1a2dd1f49a71.wxs.aliquot_ensemble_masked.maf.gz	2d202cc64d253a88499dbbe22120867a	74240	validated
301ffbee-4acd-4fcd-b51b-1b2308003a8b	301ffbee-4acd-4fcd-b51b-1b2308003a8b/24e71d86-8fd3-47c4-8441-e6002c899f46.wxs.aliquot_ensemble_masked.maf.gz	3007beeaf1f0f33a4198ce8bcb0349e1	26498	validated
386bc19f-734b-411a-a191-98da648c7331	386bc19f-734b-411a-a191-98da648c7331/db94fe09-be24-4d31-88e7-7edc6edae559.wxs.aliquot_ensemble_masked.maf.gz	9d242083161cdc577aedeb834917d7d9	79592	validated
4178d9c3-7918-4cb7-b856-bbf1dea88311	4178d9c3-7918-4cb7-b856-bbf1dea88311/eaa6787e-65f3-4d9d-b6e4-85f7086911ab.wxs.aliquot_ensemble_masked.maf.gz	62aa70d8655ae7c19224815e8a211f24	49259	validated
43476464-a109-4c5d-ae31-794fa35b4bd6	43476464-a109-4c5d-ae31-794fa35b4bd6/167045e8-4a60-4c41-8f72-c66b8838c3ef.wxs.aliquot_ensemble_masked.maf.gz	10a106abc961bd5b0c4e3a5785e5c5b2	21209	validated
460b6854-7156-4bb5-af9a-d9f064114284	460b6854-7156-4bb5-af9a-d9f064114284/0b92bd19-e3d4-40dd-bd53-3af901298d8f.wxs.aliquot_ensemble_masked.maf.gz	4648484bbd3fb51c956554db70e502a6	33580	validated
4a2d0852-eaf9-455c-8406-12ae0dceef12	4a2d0852-eaf9-455c-8406-12ae0dceef12/c673b94d-8441-4f5a-9a5d-ea73da3c33c2.wxs.aliquot_ensemble_masked.maf.gz	26b4bec803094302c47d9999874523fc	33974	validated
51fc2ca3-993e-49d5-824d-0a4f46adc0e8	51fc2ca3-993e-49d5-824d-0a4f46adc0e8/de7da335-8560-4f55-9ecd-d5efe69b1068.wxs.aliquot_ensemble_masked.maf.gz	652a7baaaa64241de13820075db7dc1f	45721	validated
5b712742-08eb-4375-979b-0c456bfd6ba9	5b712742-08eb-4375-979b-0c456bfd6ba9/c6d3bf5e-401d-4f64-b399-63ce6a5dc656.wxs.aliquot_ensemble_masked.maf.gz	71599814f70b84ab900177fddb04b357	97923	validated
6111d386-2875-45d4-9918-1acaa63c4820	6111d386-2875-45d4-9918-1acaa63c4820/90348835-1370-42c4-898c-3f5eaad5abde.wxs.aliquot_ensemble_masked.maf.gz	b90c74c123d82fb5af0139408e320253	28049	validated
66f46475-762f-402d-8279-67b4df41510b	66f46475-762f-402d-8279-67b4df41510b/4ce5d34f-6f9a-402c-9fa7-8a6c8a3bf249.wxs.aliquot_ensemble_masked.maf.gz	852d0e6d1fead8752ab7bf24eb950d61	27437	validated
7a2ff26a-07c4-4ab2-8dac-09db7b66ca57	7a2ff26a-07c4-4ab2-8dac-09db7b66ca57/439e9300-5f93-4bac-97ad-0f410049b9ce.wxs.aliquot_ensemble_masked.maf.gz	f7d30980945117d33ca6a8b2505e1685	7673	validated
7fdd83de-6901-4525-978d-637865cfdbf8	7fdd83de-6901-4525-978d-637865cfdbf8/e9c73c28-c2ec-4189-8860-b431902ca7c5.wxs.aliquot_ensemble_masked.maf.gz	1eaee6ec6e3899d8612e6418388ec9d7	67182	validated
af4322c2-9ecb-4dc5-8018-e7b2420a4c7c	af4322c2-9ecb-4dc5-8018-e7b2420a4c7c/6c9ee39d-aa46-487c-852a-fe76df9d1d09.wxs.aliquot_ensemble_masked.maf.gz	5e29532a78d86820b387359b5c2fe3b5	38767	validated
c3edf622-79d4-42a6-b31b-fddce5708d97	c3edf622-79d4-42a6-b31b-fddce5708d97/ad03f441-8c2e-4314-9715-9ed6334bc03b.wxs.aliquot_ensemble_masked.maf.gz	a9a8fd677c87ee7cfd906b998720bc6d	22346	validated
e51c2541-2d8e-4ced-aeb4-0276e58b30dd	e51c2541-2d8e-4ced-aeb4-0276e58b30dd/c71dcac3-6d47-4d2b-aa5b-e51867b24310.wxs.aliquot_ensemble_masked.maf.gz	435493c7b8f334e6ae1191724162b869	17184	validated
